geneID	geneSymbol	bioType	annotationLevel	S-CTL-001	S-CTL-002	S-CTL-003	S-KD-001	S-KD-002	S-KD-003
ENSG00000000003.14	TSPAN6	protein_coding	2	4100.71	4151.38	2116.8	6428.82	8137.23	3598.91
ENSG00000000005.6	TNMD	protein_coding	2	11983	8214	4427	11779	8501	5091
ENSG00000000419.12	DPM1	protein_coding	2	0	0	0	0	0	1.41
ENSG00000000457.14	SCYL3	protein_coding	2	954	884	642	1203	1584	1087
ENSG00000000460.17	C1orf112	protein_coding	2	1447	829	435	241	220	153
ENSG00000000938.13	FGR	protein_coding	2	1206	983	999	1283	647	1228
ENSG00000000971.15	CFH	protein_coding	1	13434.15	12783.83	5226.04	14694.71	11016.95	4709.25
ENSG00000001036.13	FUCA2	protein_coding	2	13	17	22	395	133	69
ENSG00000001084.13	GCLC	protein_coding	1	1494	2080	1467	1529	1797	1265
ENSG00000001167.14	NFYA	protein_coding	2	4604	3899	3263	4879	4007	3956
ENSG00000001460.18	STPG1	protein_coding	2	7790	6036	2608	8736	6328	2206
ENSG00000001461.17	NIPAL3	protein_coding	2	7	7	6	66	42	13
ENSG00000001497.16	LAS1L	protein_coding	2	0	1	1	1	1	0
ENSG00000001561.7	ENPP4	protein_coding	2	4191	2930	1929	4488	3959	2573
ENSG00000001617.12	SEMA3F	protein_coding	2	1115	1078	611.09	1214	1128.34	417.77
ENSG00000001626.15	CFTR	protein_coding	1	15	15	4	719	601	285
ENSG00000001629.10	ANKIB1	protein_coding	2	80	62	85	56	40	38
ENSG00000001630.17	CYP51A1	protein_coding	1	2316	2977	2324	770	587	659
ENSG00000001631.15	KRIT1	protein_coding	2	28	19	18	12	4	3
ENSG00000002016.17	RAD52	protein_coding	2	18	31	13	7	14	2
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	1	83	4	15	0	0	0
ENSG00000002330.13	BAD	protein_coding	1	2413.48	3416.26	2173.74	7593.48	7913.5	2917.53
ENSG00000002549.12	LAP3	protein_coding	2	5	4	6	11	17	8
ENSG00000002586.20	CD99	protein_coding	2	5285	7716	4485	6667	4305	2161
ENSG00000002586.20_PAR_Y	CD99	protein_coding	2	10	9	3	263	227	86
ENSG00000002587.10	HS3ST1	protein_coding	2	8910	7759	4221	10689	10603	6551
