gene	SJMMBT044903_D1	SJMMBT044904_D1	SJMMBT047584_D1	SJMMBT047585_D1	SJMMBT047586_D1	SJMMBT047587_D1	SJMMBT044907_D1	SJMMBT044908_D1	SJMMBT044909_D1	SJMMBT044910_D1	SJMMBT044911_D1	SJMMBT045512_D1	SJMMBT044913_D1	SJMMBT044914_D1	SJMMBT044915_D1	SJMMBT044916_D1	SJMMBT045379_D1	SJMMBT047605_D1
0610005C13Rik	12	14	8	13	1	7	9	8	5	6	25	4	12	5	7	7	7	11
0610007C21Rik	4215	3426	1035	2510	1767	1097	2544	2027	1177	1468	3250	1890	2273	6153	2826	2016	2836	1896
0610007L01Rik	2506	2707	1384	1697	2044	1369	2810	2964	1091	1186	3133	1812	2147	4971	2997	1730	4740	1682
0610007N19Rik	154	249	105	124	155	92	143	72	60	65	337	57	79	97	414	73	111	52
0610007P08Rik	3122	4837	1297	2318	2032	1258	5028	2332	1955	1868	2496	1904	2896	5227	3675	1974	4255	1252
0610007P14Rik	1201	1207	325	1235	526	460	1107	918	866	694	1227	707	753	1762	1643	976	962	716
0610007P22Rik	1665	1535	581	1180	1351	710	1365	1095	594	546	1428	851	1044	1768	1423	924	1206	479
0610009B14Rik	1	3	2	3	0	0	0	1	1	0	8	3	1	0	2	0	1	5
0610009B22Rik	812	1109	221	611	460	344	868	437	535	447	929	447	542	1042	823	468	638	467
0610009D07Rik	3966	2620	699	2263	1184	2345	2829	2088	1596	1385	2202	1658	1768	4029	3863	2210	1870	1252
0610009E02Rik	57	60	32	32	42	43	54	58	13	28	77	30	26	71	30	35	61	22
0610009L18Rik	78	125	57	148	86	50	127	58	81	77	174	77	81	143	174	75	125	84
0610009O20Rik	1405	1277	692	982	1614	1009	1409	1047	618	614	1649	720	1131	1678	1332	1208	1653	815
0610010F05Rik	6345	4470	1511	2726	2714	2138	3304	3823	1937	1840	3537	2535	3503	5511	3865	3117	4221	2373
0610010K14Rik	45	42	18	41	33	29	40	21	27	16	37	32	27	44	43	44	52	22
0610010O12Rik	577	879	425	604	502	542	394	1478	198	133	1889	579	730	794	510	924	1376	661
0610011F06Rik	463	1173	392	812	493	522	795	495	432	288	1250	437	510	633	673	444	650	419
0610011L14Rik	2522	2241	715	1785	1759	1139	1895	2098	1123	912	2379	1468	1839	3091	1716	1674	2053	1072
0610012D04Rik	0	0	0	0	0	0	2	0	0	0	1	0	0	4	2	0	3	0
