ID	NEWNAME	GROUP
SJMMBT044903_D1	AVP-BS-0093	Ctl
SJMMBT044904_D1	AVP-BS-0139	Ctl
SJMMBT047584_D1	AVP-BS-0187	Ctl
SJMMBT047585_D1	AVP-BS-0287	Ctl
SJMMBT047586_D1	AVP-BS-0346	Ctl
SJMMBT047587_D1	AVP-BS-0388	Ctl
SJMMBT044907_D1	AKVP-BS-0059	KF
SJMMBT044908_D1	AKVP-BS-0080	KF
SJMMBT044909_D1	AKVP-BS-0082	KF
SJMMBT044910_D1	AKVP-BS-0110	KF
SJMMBT044911_D1	AKVP-BS-0144	KF
SJMMBT045512_D1	AKVP-BS-0319	KF
SJMMBT044913_D1	CWVP-BS-0062	WF
SJMMBT044914_D1	CWVP-BS-0111	WF
SJMMBT044915_D1	CWVP-BS-0137	WF
SJMMBT044916_D1	CWVP-BS-0142	WF
SJMMBT045379_D1	CWVP-BS-0162	WF
SJMMBT047605_D1	CWVP-BS-0060	WF
