geneID	geneSymbol	bioType	annotationLevel	SRR7850870	SRR7850871	SRR7850872	SRR7850873	SRR7850874	SRR7850875	SRR7850876	SRR7850877	SRR7850878
ENSMUSG00000000001.4	Gnai3	protein_coding	2	3025.0	7826.0	6391.0	6543.0	9357.0	12412.0	6901.0	8504.0	4152.0
ENSMUSG00000000003.15	Pbsn	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000028.15	Cdc45	protein_coding	2	421.0	1080.0	818.0	929.0	1230.0	1529.0	922.0	1152.0	524.0
ENSMUSG00000000031.16	H19	lncRNA	2	2963.0	5606.0	5421.0	4733.0	10706.0	12039.0	9791.0	9543.0	4193.0
ENSMUSG00000000037.17	Scml2	protein_coding	1	123.0	303.0	262.0	304.0	352.0	431.0	269.0	331.0	146.0
ENSMUSG00000000049.11	Apoh	protein_coding	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0
ENSMUSG00000000056.7	Narf	protein_coding	2	1415.0	3742.0	3337.0	3465.0	4786.0	4803.0	2759.0	3432.0	1524.0
ENSMUSG00000000058.6	Cav2	protein_coding	2	90.0	211.0	168.0	176.0	218.0	298.0	172.0	196.0	130.0
ENSMUSG00000000078.7	Klf6	protein_coding	2	726.0	1861.0	1619.0	1647.0	2427.0	4389.0	2094.0	2747.0	1849.0
ENSMUSG00000000085.16	Scmh1	protein_coding	2	345.0	1001.0	865.0	921.0	948.0	933.0	608.0	847.0	337.0
ENSMUSG00000000088.7	Cox5a	protein_coding	2	903.0	2601.0	2225.0	2251.0	2914.0	3354.0	2033.0	2473.0	1304.0
ENSMUSG00000000093.6	Tbx2	protein_coding	2	42.0	87.0	85.0	66.0	139.0	117.0	75.0	90.0	45.0
ENSMUSG00000000094.12	Tbx4	protein_coding	2	2.0	6.0	4.0	4.0	5.0	17.0	4.0	5.0	2.0
ENSMUSG00000000103.12	Zfy2	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120.6	Ngfr	protein_coding	2	162.0	274.0	364.0	242.0	451.0	343.0	291.0	392.0	111.0
ENSMUSG00000000125.5	Wnt3	protein_coding	2	7.0	26.0	25.0	20.0	29.0	32.0	19.0	19.0	11.0
ENSMUSG00000000126.11	Wnt9a	protein_coding	2	93.0	187.0	133.0	133.0	214.0	325.0	253.0	324.0	154.0
ENSMUSG00000000127.15	Fer	protein_coding	2	549.0	1585.0	1274.0	1354.0	1595.0	1959.0	1156.0	1542.0	697.0
ENSMUSG00000000131.15	Xpo6	protein_coding	1	1496.0	3910.0	3407.0	3745.0	4538.0	5072.0	3082.0	4043.0	1917.0
ENSMUSG00000000134.17	Tfe3	protein_coding	2	301.0	742.0	660.0	728.0	929.0	998.0	683.0	828.0	342.0
ENSMUSG00000000142.15	Axin2	protein_coding	2	804.0	1741.0	1403.0	1464.0	1931.0	1723.0	1504.0	1713.0	633.0
ENSMUSG00000000148.17	Brat1	protein_coding	2	314.0	929.0	784.0	866.0	982.0	1030.0	719.0	939.0	397.0
ENSMUSG00000000149.10	Gna12	protein_coding	2	1443.0	4064.0	3499.0	3624.0	4856.0	5026.0	3082.0	3796.0	1851.0
ENSMUSG00000000154.16	Slc22a18	protein_coding	2	2.0	4.0	3.0	3.0	2.0	5.0	3.0	0.0	1.0
ENSMUSG00000000157.16	Itgb2l	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ENSMUSG00000000159.16	Igsf5	protein_coding	2	0.0	1.0	0.0	0.0	3.0	3.0	2.0	3.0	0.0
ENSMUSG00000000167.14	Pih1d2	protein_coding	2	36.0	118.0	94.0	61.0	82.0	159.0	77.0	128.0	66.0
ENSMUSG00000000168.9	Dlat	protein_coding	2	611.0	1599.0	1497.0	1321.0	1926.0	2468.0	1410.0	1685.0	765.0
ENSMUSG00000000171.5	Sdhd	protein_coding	2	821.0	2110.0	1788.0	1923.0	2639.0	2881.0	1826.0	2286.0	1142.0
ENSMUSG00000000182.9	Fgf23	protein_coding	2	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	4.0
ENSMUSG00000000183.6	Fgf6	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
ENSMUSG00000000184.12	Ccnd2	protein_coding	2	10867.0	36992.0	30753.0	33423.0	38654.0	52644.0	26399.0	36194.0	19007.0
ENSMUSG00000000194.13	Gpr107	protein_coding	1	980.0	2760.0	2439.0	2459.0	2937.0	3591.0	2184.0	2693.0	1318.0
ENSMUSG00000000197.8	Nalcn	protein_coding	2	381.0	1001.0	941.0	830.0	1145.0	1024.0	637.0	823.0	283.0
ENSMUSG00000000202.9	Btbd17	protein_coding	2	258.0	725.0	613.0	599.0	779.0	592.0	429.0	496.0	151.0
ENSMUSG00000000204.16	Slfn4	protein_coding	2	1.0	3.0	1.0	0.0	4.0	2.0	0.0	2.0	1.0
ENSMUSG00000000214.11	Th	protein_coding	2	73.0	90.0	63.0	62.0	191.0	174.0	141.0	161.0	45.0
ENSMUSG00000000215.11	Ins2	protein_coding	2	0.0	3.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0
ENSMUSG00000000216.8	Scnn1g	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000223.13	Drp2	protein_coding	2	433.0	1317.0	1218.0	1058.0	1376.0	1333.0	769.0	1034.0	444.0
ENSMUSG00000000244.17	Tspan32	protein_coding	2	17.0	13.0	4.0	17.0	41.0	21.0	43.0	28.0	2.0
ENSMUSG00000000247.11	Lhx2	protein_coding	2	2271.0	5862.0	4961.0	5478.0	6901.0	7934.0	4270.0	5663.0	2778.0
ENSMUSG00000000248.16	Clec2g	protein_coding	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSMUSG00000000253.13	Gmpr	protein_coding	1	77.0	184.0	161.0	157.0	227.0	177.0	137.0	178.0	68.0
ENSMUSG00000000263.15	Glra1	protein_coding	2	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000266.11	Mid2	protein_coding	1	100.0	238.0	213.0	198.0	324.0	409.0	219.0	294.0	166.0
ENSMUSG00000000275.16	Trim25	protein_coding	2	72.0	166.0	178.0	176.0	272.0	205.0	138.0	171.0	90.0
ENSMUSG00000000276.11	Dgke	protein_coding	2	500.0	1791.0	1733.0	1602.0	1674.0	1954.0	1022.0	1377.0	793.0
ENSMUSG00000000278.10	Scpep1	protein_coding	2	299.0	729.0	638.0	630.0	853.0	1265.0	725.0	794.0	459.0
ENSMUSG00000000282.12	Mnt	protein_coding	2	228.0	610.0	497.0	525.0	729.0	604.0	409.0	498.0	235.0
ENSMUSG00000000290.13	Itgb2	protein_coding	2	21.0	35.0	23.0	20.0	27.0	37.0	34.0	32.0	29.0
ENSMUSG00000000295.13	Hddc2	protein_coding	2	224.0	502.0	495.0	508.0	597.0	685.0	439.0	448.0	264.0
ENSMUSG00000000296.8	Tpd52l1	protein_coding	2	33.0	73.0	60.0	64.0	81.0	77.0	77.0	90.0	43.0
ENSMUSG00000000301.16	Pemt	protein_coding	2	17.0	35.0	40.0	30.0	54.0	48.0	30.0	47.0	22.0
ENSMUSG00000000303.12	Cdh1	protein_coding	2	29.0	41.0	46.0	26.0	43.0	20.0	30.0	22.0	47.0
ENSMUSG00000000305.12	Cdh4	protein_coding	2	860.0	2607.0	2066.0	2352.0	2706.0	2196.0	1561.0	1986.0	832.0
ENSMUSG00000000308.14	Ckmt1	protein_coding	2	39.0	94.0	85.0	105.0	123.0	117.0	62.0	88.0	77.0
ENSMUSG00000000317.11	Bcl6b	protein_coding	2	70.0	162.0	143.0	124.0	240.0	212.0	165.0	180.0	69.0
ENSMUSG00000000318.16	Clec10a	protein_coding	2	0.0	10.0	6.0	9.0	15.0	1.0	10.0	1.0	1.0
ENSMUSG00000000320.10	Alox12	protein_coding	2	12.0	25.0	19.0	17.0	28.0	29.0	34.0	31.0	9.0
ENSMUSG00000000325.16	Arvcf	protein_coding	2	2032.0	4906.0	4232.0	4574.0	6366.0	8196.0	5060.0	6473.0	3190.0
ENSMUSG00000000326.13	Comt	protein_coding	2	282.0	741.0	679.0	667.0	819.0	1148.0	641.0	860.0	458.0
ENSMUSG00000000339.14	Rtca	protein_coding	2	432.0	1357.0	1110.0	1128.0	1534.0	1928.0	1116.0	1470.0	648.0
ENSMUSG00000000340.10	Dbt	protein_coding	2	307.0	858.0	642.0	675.0	864.0	1127.0	652.0	702.0	452.0
ENSMUSG00000000346.9	Dazap2	protein_coding	2	1085.93	2761.63	2554.75	2356.76	3202.72	3866.82	2293.68	2716.64	1411.7
ENSMUSG00000000355.13	Mcts1	protein_coding	2	273.0	766.0	659.0	655.0	747.0	972.0	576.0	700.0	375.0
ENSMUSG00000000359.3	Rem1	protein_coding	2	1.0	0.0	4.0	3.0	1.0	1.0	2.0	2.0	1.0
ENSMUSG00000000365.9	Rnf17	protein_coding	2	6.0	36.0	21.0	30.0	40.0	43.0	25.0	33.0	22.0
ENSMUSG00000000374.8	Trappc10	protein_coding	2	1079.0	3089.0	2733.0	2708.0	3513.0	3869.0	2248.0	2863.0	1362.0
ENSMUSG00000000378.15	Ccm2	protein_coding	2	359.0	930.0	845.0	869.0	1079.0	1242.0	807.0	937.0	414.0
ENSMUSG00000000381.10	Wap	protein_coding	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000384.15	Tbrg4	protein_coding	2	392.5	944.11	810.96	835.12	1093.03	1408.62	930.15	1154.91	553.49
ENSMUSG00000000385.8	Tmprss2	protein_coding	2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0
